iter	Passed	Remaining
0	0	79
1	1	79
2	1	83
3	2	82
4	3	83
5	4	83
6	4	83
7	5	83
8	6	83
9	6	83
10	7	82
11	8	80
12	8	79
13	9	77
14	9	76
15	10	74
16	11	73
17	11	72
18	12	71
19	12	71
20	13	70
21	14	69
22	14	68
23	15	68
24	16	67
25	16	66
26	17	65
27	17	64
28	18	63
29	18	62
30	19	61
31	19	61
32	20	60
33	21	59
34	21	58
35	22	57
36	22	57
37	23	56
38	23	55
39	24	54
40	24	54
41	25	53
42	26	52
43	26	52
44	27	51
45	27	50
46	28	50
47	29	49
48	29	48
49	30	48
50	30	47
51	31	46
52	31	46
53	32	45
54	32	44
55	33	44
56	34	44
57	35	43
58	36	43
59	36	42
60	37	42
61	37	41
62	38	40
63	38	40
64	39	39
65	39	38
66	40	38
67	40	37
68	41	36
69	42	36
70	43	35
71	43	35
72	44	34
73	45	34
74	45	33
75	46	32
76	46	32
77	47	31
78	47	30
79	48	30
80	49	29
81	49	28
82	50	28
83	50	27
84	51	27
85	51	26
86	52	25
87	52	25
88	53	24
89	53	23
90	54	23
91	54	22
92	55	22
93	56	21
94	56	20
95	57	20
96	58	19
97	58	19
98	59	18
99	59	17
100	60	17
101	60	16
102	61	16
103	62	15
104	62	14
105	63	14
106	64	13
107	65	13
108	65	12
109	66	12
110	67	11
111	67	10
112	68	10
113	68	9
114	69	9
115	69	8
116	70	7
117	71	7
118	71	6
119	72	6
120	73	5
121	73	4
122	74	4
123	74	3
124	75	3
125	75	2
126	76	1
127	77	1
128	77	0
129	78	0
